work_id	person_id	title	subtitle	author	path
5036	000052	源氏物語	乙女 紫式部	與謝野晶子訳	cards/000052/files/5036_ruby_11905/5036_ruby_11905.txt
5037	000052	源氏物語	玉鬘 紫式部	與謝野晶子訳	cards/000052/files/5037_ruby_11909/5037_ruby_11909.txt
5038	000052	源氏物語	初音 紫式部	與謝野晶子訳	cards/000052/files/5038_ruby_10198/5038_ruby_10198.txt
5039	000052	源氏物語	胡蝶 紫式部	與謝野晶子訳	cards/000052/files/5039_ruby_11656/5039_ruby_11656.txt
5040	000052	源氏物語	蛍 紫式部	與謝野晶子訳	cards/000052/files/5040_ruby_11668/5040_ruby_11668.txt
5041	000052	源氏物語	常夏 紫式部	與謝野晶子訳	cards/000052/files/5041_ruby_12170/5041_ruby_12170.txt
5042	000052	源氏物語	篝火 紫式部	與謝野晶子訳	cards/000052/files/5042_ruby_11843/5042_ruby_11843.txt
5043	000052	源氏物語	野分 紫式部	與謝野晶子訳	cards/000052/files/5043_ruby_10261/5043_ruby_10261.txt
5044	000052	源氏物語	行幸 紫式部	與謝野晶子訳	cards/000052/files/5044_ruby_10286/5044_ruby_10286.txt
5045	000052	源氏物語	藤袴 紫式部	與謝野晶子訳	cards/000052/files/5045_ruby_11023/5045_ruby_11023.txt
5046	000052	源氏物語	真木柱 紫式部	與謝野晶子訳	cards/000052/files/5046_ruby_12197/5046_ruby_12197.txt
5047	000052	源氏物語	梅が枝 紫式部	與謝野晶子訳	cards/000052/files/5047_ruby_12201/5047_ruby_12201.txt
5048	000052	源氏物語	藤のうら葉 紫式部	與謝野晶子訳	cards/000052/files/5048_ruby_12251/5048_ruby_12251.txt
